timestamp,open,high,low,close,volume
2026-04-03 11:00:00,66845.3,67041.9,66790.6,66983.4,2737.691
2026-04-03 12:00:00,66983.5,67350.0,66605.9,66690.4,8947.233
2026-04-03 13:00:00,66690.4,66707.1,66478.5,66644.6,6171.178
2026-04-03 14:00:00,66644.6,66968.1,66600.0,66900.0,4449.791
2026-04-03 15:00:00,66899.9,66999.0,66778.9,66806.1,2790.32
2026-04-03 16:00:00,66806.0,67046.1,66800.0,66972.5,2190.628
2026-04-03 17:00:00,66972.5,67040.0,66714.1,66811.0,3190.914
2026-04-03 18:00:00,66811.0,66899.7,66746.9,66783.7,1313.064
2026-04-03 19:00:00,66783.6,66882.9,66740.6,66857.0,1227.27
2026-04-03 20:00:00,66857.0,66888.0,66800.0,66800.1,776.851
2026-04-03 21:00:00,66800.0,66946.3,66791.8,66929.5,1612.364
2026-04-03 22:00:00,66929.4,66943.0,66813.0,66860.0,1236.07
2026-04-03 23:00:00,66859.9,66930.0,66800.7,66930.0,1189.991
2026-04-04 00:00:00,66930.0,66935.3,66838.9,66863.4,939.228
2026-04-04 01:00:00,66863.4,66895.7,66795.8,66820.0,1195.529
2026-04-04 02:00:00,66820.0,66891.4,66773.3,66814.1,1049.257
2026-04-04 03:00:00,66814.0,66875.4,66798.8,66799.1,718.718
2026-04-04 04:00:00,66799.1,66840.0,66745.5,66833.5,802.699
2026-04-04 05:00:00,66833.5,66908.4,66817.8,66871.0,1487.395
2026-04-04 06:00:00,66871.0,67023.7,66871.0,66981.5,1922.566
2026-04-04 07:00:00,66981.5,67019.1,66904.0,66982.0,1794.695
2026-04-04 08:00:00,66982.1,67025.0,66874.5,66907.8,1638.621
2026-04-04 09:00:00,66907.8,66958.2,66882.1,66952.1,884.97
2026-04-04 10:00:00,66952.1,67150.3,66880.9,67139.1,2711.761
2026-04-04 11:00:00,67139.1,67223.8,67050.0,67128.9,2757.579
2026-04-04 12:00:00,67128.9,67152.5,67025.2,67062.0,1463.379
2026-04-04 13:00:00,67061.9,67245.3,67044.8,67170.0,2344.2
2026-04-04 14:00:00,67170.0,67193.3,67003.7,67177.6,4367.856
2026-04-04 15:00:00,67177.5,67554.5,67145.6,67357.3,8203.922
2026-04-04 16:00:00,67357.4,67500.0,67292.0,67335.2,5582.375
2026-04-04 17:00:00,67335.1,67386.0,67249.9,67302.3,1946.546
2026-04-04 18:00:00,67302.3,67350.0,67226.4,67265.7,1442.733
2026-04-04 19:00:00,67265.6,67523.8,67245.6,67262.7,2205.233
2026-04-04 20:00:00,67262.8,67269.4,67150.6,67240.2,1456.19
2026-04-04 21:00:00,67240.2,67452.7,67180.9,67325.0,1362.401
2026-04-04 22:00:00,67325.0,67438.7,67305.4,67368.9,1151.5
2026-04-04 23:00:00,67368.9,67371.4,67214.2,67271.0,1340.984
2026-04-05 00:00:00,67271.1,67279.2,67131.1,67177.0,1420.572
2026-04-05 01:00:00,67177.0,67200.0,67045.2,67060.6,1631.698
2026-04-05 02:00:00,67060.6,67154.0,66900.0,67144.3,3024.169
2026-04-05 03:00:00,67144.3,67166.9,67058.0,67113.5,827.213
2026-04-05 04:00:00,67113.4,67160.0,67034.8,67066.2,1007.637
2026-04-05 05:00:00,67066.3,67127.5,66822.8,66905.1,2325.371
2026-04-05 06:00:00,66905.2,66918.6,66575.5,66771.6,7701.988
2026-04-05 07:00:00,66771.6,66887.1,66685.3,66787.4,2881.334
2026-04-05 08:00:00,66787.4,66910.0,66782.1,66892.5,1538.0
2026-04-05 09:00:00,66892.6,67020.4,66862.3,66996.0,2024.531
2026-04-05 10:00:00,66996.1,67132.8,66928.1,67012.3,2032.778
2026-04-05 11:00:00,67012.4,67054.1,66934.4,66972.7,1308.905
2026-04-05 12:00:00,66972.7,66972.7,66650.0,66751.4,5228.659
2026-04-05 13:00:00,66751.5,66892.9,66666.0,66863.4,2779.283
2026-04-05 14:00:00,66863.5,66940.2,66783.1,66892.5,2313.054
2026-04-05 15:00:00,66892.6,67828.6,66792.6,67272.2,17243.801
2026-04-05 16:00:00,67272.2,67381.0,67132.2,67178.8,3833.608
2026-04-05 17:00:00,67178.9,67376.3,67150.0,67342.2,2318.157
2026-04-05 18:00:00,67342.2,67428.2,67246.6,67381.1,1759.782
2026-04-05 19:00:00,67381.2,67540.0,67250.0,67329.1,2721.463
2026-04-05 20:00:00,67329.1,67681.6,67302.4,67636.7,3902.447
2026-04-05 21:00:00,67636.7,67672.9,67377.2,67519.5,3003.776
2026-04-05 22:00:00,67519.5,68347.9,67313.6,68313.0,14605.362
2026-04-05 23:00:00,68313.0,69108.0,68232.0,68997.9,17484.581
2026-04-06 00:00:00,68997.9,69583.0,68997.9,69051.9,14169.018
2026-04-06 01:00:00,69051.9,69103.1,68761.0,68782.9,6282.17
2026-04-06 02:00:00,68782.9,69386.2,68740.2,69183.6,7133.971
2026-04-06 03:00:00,69183.6,69223.4,69026.6,69092.4,3887.373
2026-04-06 04:00:00,69092.3,69188.0,68943.3,69107.6,3311.978
2026-04-06 05:00:00,69107.6,69214.5,69052.0,69167.1,1991.853
2026-04-06 06:00:00,69167.0,69338.2,68769.6,68958.7,6473.617
2026-04-06 07:00:00,68958.8,69190.8,68800.0,69089.7,4997.301
2026-04-06 08:00:00,69089.8,69328.7,69047.7,69191.7,3993.886
2026-04-06 09:00:00,69191.7,70252.9,69180.0,69699.4,18431.974
2026-04-06 10:00:00,69699.4,69982.2,69666.0,69739.2,5348.035
2026-04-06 11:00:00,69739.2,69739.2,69524.0,69583.6,3764.749
2026-04-06 12:00:00,69583.5,69602.4,69283.0,69337.3,4709.786
2026-04-06 13:00:00,69337.4,69521.4,69200.1,69399.8,6493.035
2026-04-06 14:00:00,69399.7,69791.3,69088.0,69620.0,12807.333
2026-04-06 15:00:00,69620.0,69931.9,69490.0,69922.5,7526.043
2026-04-06 16:00:00,69922.4,70332.5,69737.6,69759.2,10741.826
2026-04-06 17:00:00,69759.2,69778.4,69240.0,69540.6,9573.939
2026-04-06 18:00:00,69540.6,69955.3,69436.4,69852.9,5050.802
2026-04-06 19:00:00,69852.8,69862.2,69543.8,69704.8,3330.826
2026-04-06 20:00:00,69704.8,69940.0,69578.0,69779.4,2833.907
2026-04-06 21:00:00,69779.5,69784.3,69400.0,69476.5,2367.163
2026-04-06 22:00:00,69476.5,69554.2,68777.0,68777.1,7405.076
2026-04-06 23:00:00,68777.0,68880.1,68227.5,68817.9,14131.575
2026-04-07 00:00:00,68817.9,69111.8,68682.7,68738.7,7076.461
2026-04-07 01:00:00,68738.6,68878.3,68291.0,68363.9,7228.844
2026-04-07 02:00:00,68363.9,68684.6,68241.9,68640.3,5150.666
2026-04-07 03:00:00,68640.3,68780.0,68586.5,68746.3,2875.385
2026-04-07 04:00:00,68746.4,68955.6,68510.5,68819.3,4248.648
2026-04-07 05:00:00,68819.2,68831.0,68577.6,68627.5,2555.837
2026-04-07 06:00:00,68627.4,68635.9,68400.6,68540.0,3505.289
2026-04-07 07:00:00,68539.9,68677.8,68470.0,68592.1,2041.225
2026-04-07 08:00:00,68592.0,68963.4,68570.7,68907.1,4642.324
2026-04-07 09:00:00,68907.1,69219.0,68900.0,69109.8,6058.021
2026-04-07 10:00:00,69109.9,69170.0,68151.8,68196.0,13660.183
2026-04-07 11:00:00,68196.1,68430.1,68033.0,68310.8,7993.096
2026-04-07 12:00:00,68310.7,68579.3,68039.8,68367.0,7657.761
2026-04-07 13:00:00,68366.9,68613.8,68168.0,68208.1,8543.123
2026-04-07 14:00:00,68208.1,68232.1,67741.0,67831.0,14376.041
2026-04-07 15:00:00,67831.1,68250.0,67711.0,68138.4,7962.196
2026-04-07 16:00:00,68138.5,68431.8,68049.9,68207.2,6229.966
2026-04-07 17:00:00,68207.2,68996.0,68164.5,68670.0,7980.601
2026-04-07 18:00:00,68670.1,68746.7,68318.1,68413.7,4727.513
2026-04-07 19:00:00,68413.7,69068.6,68315.3,68975.9,9428.713
2026-04-07 20:00:00,68975.9,69500.0,68975.9,69285.2,9691.622
2026-04-07 21:00:00,69285.3,70200.0,69273.3,69886.7,18637.709
2026-04-07 22:00:00,69886.7,71499.9,69886.6,71479.9,31964.577
2026-04-07 23:00:00,71479.9,72743.4,71155.0,71890.2,38592.446
2026-04-08 00:00:00,71890.2,72086.4,71505.2,71681.9,12154.36
2026-04-08 01:00:00,71681.9,71732.6,71416.9,71446.5,5646.636
2026-04-08 02:00:00,71446.5,71698.0,71186.0,71330.0,6209.708
2026-04-08 03:00:00,71329.9,71449.9,71231.3,71259.6,2746.993
2026-04-08 04:00:00,71259.7,71649.8,71250.0,71528.6,5039.55
2026-04-08 05:00:00,71528.6,71797.0,71516.3,71701.6,3933.249
2026-04-08 06:00:00,71701.5,71919.0,71539.2,71697.5,4019.369
2026-04-08 07:00:00,71697.4,71873.7,71551.8,71612.0,4017.693
2026-04-08 08:00:00,71612.1,71808.5,71612.0,71776.0,3116.268
2026-04-08 09:00:00,71776.0,71945.0,71555.3,71655.4,3363.095
2026-04-08 10:00:00,71655.4,71782.1,71415.3,71445.7,3263.796
2026-04-08 11:00:00,71445.7,71687.6,71367.0,71650.2,4717.931
2026-04-08 12:00:00,71650.2,72169.5,71542.6,72023.6,10583.578
2026-04-08 13:00:00,72023.6,72858.5,71460.1,71563.2,37732.505
2026-04-08 14:00:00,71563.2,71723.8,70671.6,70888.0,20733.852
2026-04-08 15:00:00,70888.0,71327.2,70796.4,71274.8,10170.443
2026-04-08 16:00:00,71274.9,71655.0,71218.9,71560.9,7730.29
2026-04-08 17:00:00,71561.0,71934.5,71447.4,71847.5,8262.334
2026-04-08 18:00:00,71847.5,71847.7,71035.8,71064.9,10227.962
2026-04-08 19:00:00,71064.9,71333.0,70980.0,71283.0,5944.079
2026-04-08 20:00:00,71283.0,71444.8,71226.0,71336.9,2304.428
2026-04-08 21:00:00,71337.0,71726.7,71293.2,71509.5,3112.217
2026-04-08 22:00:00,71509.6,71536.2,71024.2,71024.3,3942.192
2026-04-08 23:00:00,71024.2,71198.4,70850.9,71038.1,4405.964
2026-04-09 00:00:00,71038.2,71107.0,70622.9,70779.0,5843.19
2026-04-09 01:00:00,70779.0,70940.8,70428.0,70900.0,7732.073
2026-04-09 02:00:00,70899.9,71168.0,70777.0,71029.7,4609.518
2026-04-09 03:00:00,71029.6,71091.9,70818.0,70961.2,3009.072
2026-04-09 04:00:00,70961.2,70980.5,70700.0,70760.1,3066.357
2026-04-09 05:00:00,70760.1,71063.0,70666.0,70959.7,3706.321
2026-04-09 06:00:00,70959.6,71058.6,70780.1,70998.8,2557.88
2026-04-09 07:00:00,70998.8,71087.8,70913.5,70945.0,2671.884
2026-04-09 08:00:00,70945.0,71342.0,70831.9,71207.6,4857.915
2026-04-09 09:00:00,71207.5,71533.0,71060.9,71488.7,5655.474
2026-04-09 10:00:00,71488.7,71498.9,71234.7,71234.7,3102.242
2026-04-09 11:00:00,71234.7,71317.0,71007.8,71109.9,3694.561
2026-04-09 12:00:00,71109.9,71299.6,70978.8,71245.0,3685.525
2026-04-09 13:00:00,71244.9,71320.0,70590.0,70765.2,9043.698
2026-04-09 14:00:00,70765.2,71224.5,70470.2,71083.5,10350.748
2026-04-09 15:00:00,71083.4,72320.0,70887.8,72108.0,26071.831
2026-04-09 16:00:00,72108.0,72377.4,71688.8,72048.0,13698.746
2026-04-09 17:00:00,72048.1,72517.9,72028.2,72306.9,12725.975
2026-04-09 18:00:00,72307.0,72339.0,71705.0,71849.3,6911.03
